target_variant,model_type,listing_id,make,model,brand,price_eur,mileage_km,age_years,power_hp,fuel_type,listing_country,price_label,top_price,top_price_plus_good_price,threshold_used,probability_positive_label,predicted_positive_label,review_rank
top_price_only,Random Forest,2976,audi,a3,audi,36880,5000.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9177633745455814,1,1
top_price_only,Random Forest,3225,audi,a3,audi,34250,5934.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9176716312161026,1,2
top_price_only,Random Forest,3081,audi,a3,audi,36880,4452.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9173494003116213,1,3
top_price_only,Random Forest,3186,audi,a3,audi,35450,5837.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9169561878141244,1,4
top_price_only,Random Forest,312,audi,a3,audi,36990,4564.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9149055639031589,1,5
top_price_only,Random Forest,2256,audi,a3,audi,36990,5000.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9145919049420782,1,6
top_price_only,Random Forest,3299,audi,a3,audi,36880,4145.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9139294028798436,1,7
top_price_only,Random Forest,2886,audi,a3,audi,36990,5691.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9109050649410065,1,8
top_price_only,Random Forest,2087,audi,a3,audi,36990,6000.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9097927652643422,1,9
top_price_only,Random Forest,2326,audi,a3,audi,36480,7873.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9091972403618023,1,10
top_price_only,Random Forest,171,audi,a3,audi,25990,6714.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.9063618508991265,1,11
top_price_only,Random Forest,3195,audi,a3,audi,25990,6714.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.9063618508991265,1,12
top_price_only,Random Forest,2628,audi,a3,audi,35630,7449.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9061070012431575,1,13
top_price_only,Random Forest,2771,audi,a3,audi,36880,6080.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9059370513646963,1,14
top_price_only,Random Forest,1995,audi,a3,audi,33890,8920.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9055335781671249,1,15
top_price_only,Random Forest,3317,audi,a3,audi,36880,3984.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.9037140195363226,1,16
top_price_only,Random Forest,1206,audi,a3,audi,29900,1.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.9023847644606814,1,17
top_price_only,Random Forest,2534,audi,a3,audi,29900,1.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.9023847644606814,1,18
top_price_only,Random Forest,75,audi,a3,audi,25290,6617.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.900200264774405,1,19
top_price_only,Random Forest,1400,audi,a3,audi,25290,6617.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.900200264774405,1,20
top_price_only,Random Forest,2013,audi,a3,audi,25490,6635.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.900200264774405,1,21
top_price_only,Random Forest,1606,audi,a3,audi,28900,1.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8986936375576728,1,22
top_price_only,Random Forest,1885,audi,a3,audi,28900,1.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8986936375576728,1,23
top_price_only,Random Forest,2973,audi,a3,audi,30980,5640.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8917829231397495,1,24
top_price_only,Random Forest,3173,audi,a3,audi,31410,6900.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8901333520082771,1,25
top_price_only,Random Forest,1825,audi,a3,audi,31810,6135.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8897315538502784,1,26
top_price_only,Random Forest,2895,audi,a3,audi,30650,6918.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8890665707683061,1,27
top_price_only,Random Forest,2699,audi,a3,audi,31580,7058.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8882590097586869,1,28
top_price_only,Random Forest,2244,audi,a3,audi,31590,5249.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8877091439724876,1,29
top_price_only,Random Forest,2103,audi,a3,audi,31980,5400.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8862741362885842,1,30
top_price_only,Random Forest,1949,audi,a3,audi,30990,4501.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8861960771728257,1,31
top_price_only,Random Forest,2441,audi,a3,audi,29990,5150.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8860879084215356,1,32
top_price_only,Random Forest,304,audi,a3,audi,24975,8973.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.8860724723400081,1,33
top_price_only,Random Forest,118,audi,a3,audi,26480,9889.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.8857235221320039,1,34
top_price_only,Random Forest,2927,audi,a3,audi,31420,4672.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8849212510733602,1,35
top_price_only,Random Forest,3138,audi,a3,audi,30990,5092.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8847605132619587,1,36
top_price_only,Random Forest,2282,audi,a3,audi,32840,5960.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8844608930087585,1,37
top_price_only,Random Forest,3223,audi,a3,audi,32870,5730.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8844608930087585,1,38
top_price_only,Random Forest,1018,audi,a3,audi,29990,4786.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8838883760627775,1,39
top_price_only,Random Forest,3017,audi,a3,audi,32880,7022.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8829883489171669,1,40
top_price_only,Random Forest,183,audi,a3,audi,27399,6799.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.881609699995016,1,41
top_price_only,Random Forest,3152,audi,a3,audi,30949,7200.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8810706198225963,1,42
top_price_only,Random Forest,2431,audi,a3,audi,31990,4100.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.880992827743948,1,43
top_price_only,Random Forest,3047,audi,a3,audi,25180,49779.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.880821970755854,1,44
top_price_only,Random Forest,153,audi,a3,audi,25490,11347.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.8798006013518352,1,45
top_price_only,Random Forest,2957,audi,a3,audi,25490,11347.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.8798006013518352,1,46
top_price_only,Random Forest,2535,audi,a3,audi,24980,52076.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8790958139244135,1,47
top_price_only,Random Forest,1994,audi,a3,audi,28350,7352.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.878892765639339,1,48
top_price_only,Random Forest,143,audi,a3,audi,24480,56924.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8785415414221339,1,49
top_price_only,Random Forest,2758,audi,a3,audi,24480,56924.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8785415414221339,1,50
top_price_only,Random Forest,162,audi,a3,audi,25990,10748.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.878400337439135,1,51
top_price_only,Random Forest,3075,audi,a3,audi,25990,10748.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.878400337439135,1,52
top_price_only,Random Forest,2477,audi,a3,audi,31880,7769.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8776746566609539,1,53
top_price_only,Random Forest,2230,audi,a3,audi,24580,54550.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8776163085886074,1,54
top_price_only,Random Forest,2329,audi,a3,audi,25180,48056.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8773032019090202,1,55
top_price_only,Random Forest,2624,audi,a3,audi,31390,7986.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8765405960190527,1,56
top_price_only,Random Forest,3242,audi,a3,audi,31400,7930.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8765405960190527,1,57
top_price_only,Random Forest,3155,audi,a3,audi,30990,8005.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8764634410191722,1,58
top_price_only,Random Forest,2827,audi,a3,audi,31889,4400.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8761685176195944,1,59
top_price_only,Random Forest,2704,audi,a3,audi,35980,10215.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.8759323139527297,1,60
top_price_only,Random Forest,3325,audi,a3,audi,32360,4120.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8746809512241598,1,61
top_price_only,Random Forest,2715,audi,a3,audi,34940,12417.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.8743081107480631,1,62
top_price_only,Random Forest,1203,audi,a3,audi,29990,7892.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8738805759116031,1,63
top_price_only,Random Forest,1930,audi,a3,audi,29990,7880.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8738805759116031,1,64
top_price_only,Random Forest,146,audi,a3,audi,29810,7800.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8731527268145903,1,65
top_price_only,Random Forest,2821,audi,a3,audi,29810,7800.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8731527268145903,1,66
top_price_only,Random Forest,2940,audi,a3,audi,32890,4595.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8729922920615504,1,67
top_price_only,Random Forest,3142,audi,a3,audi,32390,4191.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8718981474298795,1,68
top_price_only,Random Forest,1757,audi,a3,audi,36990,2500.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.8716561342591091,1,69
top_price_only,Random Forest,3114,audi,a3,audi,30920,7389.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8707874724758328,1,70
top_price_only,Random Forest,2700,audi,a3,audi,30940,7834.0,0.0,116.0,petrol,germany,good-price,0,1,0.5,0.8704472315700018,1,71
top_price_only,Random Forest,264,audi,a3,audi,31999,8100.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.87026563334513,1,72
top_price_only,Random Forest,2030,audi,a3,audi,26680,11990.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.867954611091159,1,73
top_price_only,Random Forest,2231,audi,a3,audi,26680,11990.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.867954611091159,1,74
top_price_only,Random Forest,2717,audi,a3,audi,33570,14677.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.867609025892784,1,75
top_price_only,Random Forest,1011,audi,a3,audi,31369,8200.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8675140915321634,1,76
top_price_only,Random Forest,2209,audi,a3,audi,32369,4950.0,0.0,116.0,petrol,germany,good-price,0,1,0.5,0.8662277056512265,1,77
top_price_only,Random Forest,2525,audi,a3,audi,31900,7694.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8653108611781726,1,78
top_price_only,Random Forest,2716,audi,a3,audi,30970,3483.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8652358085844385,1,79
top_price_only,Random Forest,2872,audi,a3,audi,32999,5900.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8644400645574541,1,80
top_price_only,Random Forest,2875,audi,a3,audi,33620,13743.0,0.0,150.0,diesel,germany,top-price,1,1,0.5,0.8643792480749163,1,81
top_price_only,Random Forest,121,audi,a3,audi,30999,2700.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8634814707434488,1,82
top_price_only,Random Forest,2325,audi,a3,audi,30999,2700.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8634814707434488,1,83
top_price_only,Random Forest,57,audi,a3,audi,26740,6780.0,1.0,110.0,petrol,germany,top-price,1,1,0.5,0.8634318391331022,1,84
top_price_only,Random Forest,1055,audi,a3,audi,26740,6780.0,1.0,110.0,petrol,germany,top-price,1,1,0.5,0.8634318391331022,1,85
top_price_only,Random Forest,257,audi,a3,audi,32999,7000.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8629675204658624,1,86
top_price_only,Random Forest,1227,audi,a3,audi,32950,8385.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8626957570338832,1,87
top_price_only,Random Forest,2461,audi,a3,audi,23980,63210.0,1.0,116.0,diesel,germany,top-price,1,1,0.5,0.8620341973793971,1,88
top_price_only,Random Forest,2575,audi,a3,audi,31430,8145.0,0.0,116.0,petrol,germany,toolow-price,0,0,0.5,0.8616216414288289,1,89
top_price_only,Random Forest,2770,audi,a3,audi,32450,4523.0,0.0,116.0,petrol,germany,good-price,0,1,0.5,0.8612489135876104,1,90
top_price_only,Random Forest,2702,audi,a3,audi,28750,7618.0,1.0,116.0,petrol,germany,top-price,1,1,0.5,0.8603400189445394,1,91
top_price_only,Random Forest,2554,audi,a3,audi,28550,5218.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8602222836514948,1,92
top_price_only,Random Forest,3220,audi,a3,audi,32840,8470.0,0.0,116.0,petrol,germany,top-price,1,1,0.5,0.8602031732830117,1,93
